CUENTA;NOMBRE;NATURALEZA;ESTADO
153299;AJUSTES POR INFLACION;DB;ACTIVO
153299;CUENTA AJUSTES NIIF;DB;ACTIVO
1536;EQUIPO DE HOTELES Y RESTAURANTES;DB;ACTIVO
153605;DE HABITACIONES;DB;ACTIVO
153610;DE COMESTIBLES Y BEBIDAS;DB;ACTIVO
153695;OTROS;DB;ACTIVO
153699;AJUSTES POR INFLACION;DB;ACTIVO
153699;CUENTA AJUSTES NIIF;DB;ACTIVO
1540;FLOTA Y EQUIPO DE TRANSPORTE;DB;ACTIVO
154005;AUTOS/ CAMIONETAS Y CAMPEROS;DB;ACTIVO
154008;CAMIONES/ VOLQUETAS Y FURGONES;DB;ACTIVO
154010;TRACTOMULAS Y REMOLQUES;DB;ACTIVO
154015;BUSES Y BUSETAS;DB;ACTIVO
154017;RECOLECTORES Y CONTENEDORES;DB;ACTIVO
154020;MONTACARGAS;DB;ACTIVO
